date	suomi_pw	aero_pw
2020-12-13	 2.600	 2.700
2020-12-14	 2.200	 3.900
2020-12-15	 3.600	 3.500
2020-12-16	 3.300	 3.600
2020-12-17	 3.900	 3.700
2020-12-18	 4.100	 4.900
2020-12-19	 4.400	 4.200
2020-12-20	 3.900	 3.300
2020-12-21	 3.600	 4.900
2020-12-22	 3.500	 3.100
2020-12-23	 3.100	 1.900
2020-12-24	 2.400	 1.900
2020-12-25	 3.500	 3.100
2020-12-26	 4.000	 3.800
2020-12-27	 6.400	 5.800
2020-12-28	 4.600	 7.800
2020-12-29	 4.000	 5.000
2020-12-30	 2.800	 3.200
